선수,팀,pid,실제등급,예측등급,연봉총(만원),등급차,연봉표시
박종훈,SSG 랜더스,10131,A,D,110000,3,"110,000"
원종현,키움 히어로즈,11161,A,D,62500,3,"62,500"
이태양,한화 이글스,10609,B,D,47000,2,"47,000"
소형준,KT 위즈,14600,B,D,22000,2,"22,000"
김택형,SSG 랜더스,11373,B,D,20500,2,"20,500"
이의리,KIA 타이거즈,14788,B,D,17000,2,"17,000"
김인범,키움 히어로즈,14480,D,B,4500,2,"4,500"
김윤하,키움 히어로즈,16123,D,B,4500,2,"4,500"
최종인,두산 베어스,14733,D,B,3500,2,"3,500"
육청명,KT 위즈,16028,D,B,3500,2,"3,500"
손현기,키움 히어로즈,16125,D,B,3100,2,"3,100"
김광현,SSG 랜더스,10126,A,B,300000,1,"300,000"
류현진,한화 이글스,10590,A,B,200000,1,"200,000"
고영표,KT 위즈,11308,A,B,200000,1,"200,000"
박세웅,롯데 자이언츠,11310,A,B,135000,1,"135,000"
반즈,롯데 자이언츠,15011,A,B,133000,1,"133,000"
양현종,KIA 타이거즈,10058,A,B,125000,1,"125,000"
에르난데스,LG 트윈스,16160,A,B,112000,1,"112,000"
김원중,롯데 자이언츠,10825,A,B,110000,1,"110,000"
한현희,롯데 자이언츠,10863,A,B,110000,1,"110,000"
